job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.2018,0.0001,0.2019,0.0363,0.9995047052996533,0.0004952947003467064,11.322,0.0529,11.3218,0.0,0.0,0.0,0.0,11.321800000000001,0.0529,11.3747,11.3779
1,0.1636,0.0063,0.1699,0.0306,0.96291936433196,0.03708063566804003,8.7276,4.2537,8.7275,0.0,0.0,0.0,0.0,8.727499999999997,4.2537,12.981199999999998,12.984
2,0.1244,0.0115,0.1359,0.0245,0.9153789551140544,0.08462104488594555,7.0728,6.9571,11.0724,3.9996,0.0,0.0,0.0,11.072400000000002,6.957099999999999,18.0295,18.0341
3,0.1539,0.0072,0.1611,0.029,0.9553072625698324,0.0446927374301676,8.5236,4.5322,8.524,0.0004,0.0,0.0,0.0,8.524000000000001,4.5322000000000005,13.0562,13.0518
4,0.244,0.0,0.244,0.0439,1.0,0.0,13.6884,0.0142,13.6882,0.0,0.0,0.0,0.0,13.688200000000002,0.0142,13.702400000000003,13.7027
5,0.299,0.0008,0.2999,0.054,0.9969989996665555,0.0026675558519506505,16.1472,0.507,19.1473,3.0001,0.0,0.0,0.0,19.1473,0.5070000000000001,19.654300000000003,19.6511
6,0.221,0.0247,0.2457,0.0442,0.8994708994708994,0.10052910052910052,11.7876,14.7682,34.7872,22.9996,0.0,0.0,0.0,34.7872,14.7682,49.5554,50.56
7,0.3669,0.0,0.367,0.0661,0.9997275204359674,0.0,20.0652,0.0214,20.0658,0.0006,0.0,0.0,0.0,20.0658,0.021400000000000002,20.0872,20.086
8,0.1383,0.0001,0.1384,0.0249,0.999277456647399,0.0007225433526011561,8.0736,0.0644,8.0738,0.0002,0.0,0.0,0.0,8.0738,0.0644,8.1382,8.1342
9,0.2027,0.0001,0.2028,0.0365,0.9995069033530571,0.0004930966469428008,11.3724,0.0856,11.3724,0.0,0.0,0.0,0.0,11.372399999999997,0.08560000000000001,11.457999999999997,11.4576
10,0.2118,0.0011,0.213,0.0383,0.9943661971830986,0.005164319248826292,11.7324,0.7254,18.7326,7.0002,0.0,0.0,0.0,18.732599999999998,0.7254,19.458,19.4557
11,0.3154,0.0062,0.3216,0.0579,0.980721393034826,0.01927860696517413,18.1656,4.0367,58.1658,40.0002,0.0,0.0,0.0,58.165800000000004,4.0367,62.2025,62.7017
12,0.2864,0.0011,0.2875,0.0517,0.9961739130434782,0.0038260869565217397,15.2724,0.6905,25.2727,10.0003,0.0,0.0,0.0,25.2727,0.6905,25.9632,27.4679
13,0.3202,0.0035,0.3237,0.0583,0.9891875193080012,0.010812480691998765,18.6912,2.1584,32.6906,13.9994,0.0,0.0,0.0,32.6906,2.1584,34.849000000000004,34.8441
14,0.1799,0.0035,0.1833,0.033,0.9814511729405347,0.019094380796508457,10.092,2.2318,28.092,18.0,0.0,0.0,0.0,28.092,2.2318000000000002,30.3238,31.319
15,0.3259,0.0014,0.3273,0.0589,0.9957225786739995,0.004277421326000611,17.5992,0.9345,36.5989,18.9997,0.0,0.0,0.0,36.5989,0.9344999999999999,37.5334,38.0362
16,0.2551,0.0001,0.2552,0.0459,0.9996081504702194,0.0003918495297805643,15.096,0.0492,15.0958,0.0,0.0,0.0,0.0,15.095799999999997,0.049199999999999994,15.144999999999998,15.1427
17,0.2415,0.0011,0.2427,0.0437,0.9950556242274412,0.004532344458178822,13.3776,0.7072,35.3771,21.9995,0.0,0.0,0.0,35.3771,0.7072,36.0843,36.5827
18,0.2587,0.0014,0.26,0.0468,0.9949999999999999,0.005384615384615384,14.1444,0.8265,23.1444,9.0,0.0,0.0,0.0,23.144399999999997,0.8264999999999999,23.970899999999997,23.9734
19,0.3066,0.0024,0.309,0.0556,0.9922330097087378,0.007766990291262136,16.9824,1.5242,35.9827,19.0003,0.0,0.0,0.0,35.9827,1.5242000000000002,37.5069,38.0045
20,0.2106,0.0004,0.211,0.038,0.9981042654028437,0.0018957345971563982,12.4608,0.2996,24.4603,11.9995,0.0,0.0,0.0,24.460299999999997,0.2996,24.7599,24.758
21,0.2477,0.0048,0.2525,0.0454,0.980990099009901,0.01900990099009901,13.2084,3.3037,65.2085,52.0001,0.0,0.0,0.0,65.20850000000002,3.3037,68.51220000000002,70.0148
22,0.1212,0.0001,0.1213,0.0218,0.9991755976916735,0.0008244023083264633,6.546,0.0429,8.5455,1.9995,0.0,0.0,0.0,8.5455,0.042899999999999994,8.5884,8.591
